date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
2014-09,43,,,,,,,,,,,,,,,,,,
2014-10,24,2.8360655737704916,71.92661555312158,24.01312910284464,0,1,3,4,6,64,69,72,75,77,19,21,24,27,30
2014-11,70,,,,,,,,,,,,,,,,,,
2014-12,227,,,,,,,,,,,,,,,,,,
2015-01,79,,,,,,,,,,,,,,,,,,
2015-02,22,,,,,,,,,,,,,,,,,,
2015-03,79,,,,,,,,,,,,,,,,,,
2015-04,12,2.62007623888183,80.35326688815061,16.238359201773836,0,1,2,4,7,73,76,80,85,88,5,12,16,21,26
2015-05,257,,,,,,,,,,,,,,,,,,
2015-06,39,,,,,,,,,,,,,,,,,,
2015-07,137,2.013333333333333,76.02980132450331,21.66924778761062,0,0,2,3,6,64,72,76,80,86,13,17,22,26,30
2015-08,31,,,,,,,,,,,,,,,,,,
2015-09,109,,,,,,,,,,,,,,,,,,
2015-10,189,6.625514403292181,57.08230452674897,34.55165289256198,1,3,6,11,14,42,47,58,66,71,25,28,36,40,43
2015-11,79,,,,,,,,,,,,,,,,,,
2015-12,52,,,,,,,,,,,,,,,,,,
2016-01,372,5.401111111111111,74.11196487376509,19.32456140350877,1,3,5,7,10,62,70,75,79,82,13,15,18,23,30
2016-02,100,,,,,,,,,,,,,,,,,,
2016-03,95,,,,,,,,,,,,,,,,,,
2016-04,59,2.656657963446475,82.21602787456446,14.374709976798144,0,1,3,4,6,71,76,83,87,94,3,10,14,21,25
2016-05,84,,,,,,,,,,,,,,,,,,
2016-06,59,,,,,,,,,,,,,,,,,,
2016-07,41,2.150297619047619,80.79229871645275,16.579625292740047,0,1,2,4,6,68,74,80,89,95,3,8,18,23,27
2016-08,95,,,,,,,,,,,,,,,,,,
2016-09,76,,,,,,,,,,,,,,,,,,
2016-10,296,3.934959349593496,75.70911086717892,19.290748898678412,0,2,4,6,8,69,73,76,79,81,12,16,19,23,26
2016-11,34,,,,,,,,,,,,,,,,,,
2016-12,120,,,,,,,,,,,,,,,,,,
2017-01,68,3.506343713956171,81.31982475355969,14.026344676180022,0,2,3,5,7,75,78,82,84,87,8,11,14,17,20
2017-02,19,,,,,,,,,,,,,,,,,,
2017-03,384,,,,,,,,,,,,,,,,,,
2017-04,97,2.2463958060288336,85.53618421052632,11.612761276127612,0,1,2,4,5,76,80,84,92,98,1,6,12,17,21
2017-05,115,,,,,,,,,,,,,,,,,,
2017-06,68,,,,,,,,,,,,,,,,,,
2017-07,31,1.6386066763425253,81.75116279069768,15.68997668997669,0,0,2,3,4,70,75,80,89,95,3,8,17,22,27
2017-08,25,,,,,,,,,,,,,,,,,,
2017-09,65,,,,,,,,,,,,,,,,,,
2017-10,63,3.0961995249406176,74.2280701754386,21.62910284463895,0,1,3,5,6,68,71,74,78,82,12,18,22,26,28
2017-11,145,,,,,,,,,,,,,,,,,,
2017-12,328,,,,,,,,,,,,,,,,,,
2018-01,79,4.334444444444444,78.30996714129245,16.124590163934425,1,2,4,6,8,72,75,78,81,84,10,13,16,19,23
2018-02,31,,,,,,,,,,,,,,,,,,
2018-03,121,,,,,,,,,,,,,,,,,,
2018-04,11,3.795620437956204,74.94414019715225,20.421857923497267,0,1,3,6,9,58,66,76,84,88,7,11,20,29,36
2018-05,29,,,,,,,,,,,,,,,,,,
2018-06,1,,,,,,,,,,,,,,,,,,
2018-07,56,2.59601706970128,79.52991452991454,17.431592039800996,0,1,2,4,6,65,70,80,88,95,2,8,18,27,30
2018-08,51,,,,,,,,,,,,,,,,,,
2018-09,52,,,,,,,,,,,,,,,,,,
2018-10,40,2.596996245306633,71.21248630887185,25.5218818380744,0,1,2,4,6,63,67,72,75,78,18,22,25,29,33
2018-11,95,,,,,,,,,,,,,,,,,,
2018-12,78,,,,,,,,,,,,,,,,,,
2019-01,25,4.054644808743169,74.18072289156626,20.296498905908095,1,2,4,6,8,70,72,74,77,79,16,18,20,23,25
2019-02,19,,,,,,,,,,,,,,,,,,
2019-03,155,,,,,,,,,,,,,,,,,,
2019-04,11,1.7942708333333333,83.7417943107221,13.677242888402626,0,0,2,3,4,73,78,84,89,95,4,9,13,19,25
2019-05,12,,,,,,,,,,,,,,,,,,
2019-06,53,,,,,,,,,,,,,,,,,,
